page	access#	AVF	wr_ratio	wr#	rd#	mean_AVF	page_wr_ratio
24884927597	20	3.15737292430175	0.0	0	20	0.1578686462150875	0.0
24884927598	24	4.703068218497929	0.0	0	24	0.19596117577074704	0.0
24884927600	64	26.00361696678179	0.0	0	64	0.4063065151059655	0.0
24884927601	64	26.615190855922677	0.0	0	64	0.4158623571237918	0.0
24884927602	33	12.601566979819252	0.0	0	33	0.38186566605512884	0.0
24884927603	64	37.13775326352989	0.0	0	64	0.5802773947426545	0.0
24884927604	64	38.3014007342009	0.0	0	64	0.598459386471889	0.0
24884927605	33	14.835373395711482	0.0	0	33	0.4495567695670146	0.0
24884927606	64	46.22557552876828	0.0	0	64	0.7222746176370044	0.0
24884927607	64	46.816469903994815	0.0	0	64	0.731507342249919	0.0
24884927608	33	22.733088561166763	0.0	0	33	0.6888814715505079	0.0
24884927609	24	21.09780952446086	0.0	0	24	0.8790753968525359	0.0
24884927610	19	17.02808519319756	0.0	0	19	0.8962150101682925	0.0
24884927611	33	27.55529658308857	0.0	0	33	0.8350089873663203	0.0
