page	access#	AVF	wr_ratio	wr#	rd#	mean_AVF	page_wr_ratio
4034319	128	18.17924187691921	64.0	64	64	0.28405065432686266	1.0
4034320	128	18.179177989093553	64.0	64	64	0.28404965607958677	1.0
4034321	64	18.03437521159314	0.0	0	64	0.2817871126811428	0.0
4034322	128	18.14082019025543	64.0	64	64	0.2834503154727411	1.0
4034323	128	18.218043285717428	64.0	64	64	0.2846569263393348	1.0
511174637	64	59.982799581893055	0.0	0	64	0.937231243467079	0.0
511174638	128	60.1689167182887	64.0	64	64	0.9401393237232609	1.0
511174639	64	60.018118040119525	0.0	0	64	0.9377830943768676	0.0
1518296732	64	17.996319348964384	0.0	0	64	0.2811924898275685	0.0
1518296733	128	18.112043914867023	64.0	64	64	0.28300068616979723	1.0
2631670712	128	20.854465791587316	64.0	64	64	0.3258510279935518	1.0
2631670713	64	20.70210613969823	0.0	0	64	0.32347040843278485	0.0
2631670714	128	20.82347407229209	64.0	64	64	0.3253667823795639	1.0
2631670715	128	20.88593916688972	64.0	64	64	0.3263427994826519	1.0
2631670716	128	20.886133392828775	64.0	64	64	0.3263458342629496	1.0
2631670717	64	20.73310515549563	0.0	0	64	0.3239547680546192	0.0
2631670718	128	20.85567075680494	64.0	64	64	0.3258698555750772	1.0
2631670719	128	20.92574093482352	64.0	64	64	0.3269647021066175	1.0
2631670720	128	20.925608816016123	64.0	64	64	0.3269626377502519	1.0
2631670721	64	20.767353286342416	0.0	0	64	0.32448989509910026	0.0
2631670722	128	20.890551251174216	64.0	64	64	0.3264148632995971	1.0
2631670723	128	20.959035265167707	64.0	64	64	0.3274849260182454	1.0
2631670724	128	20.95907678573964	64.0	64	64	0.3274855747771819	1.0
2631670725	64	20.804551158491275	0.0	0	64	0.3250711118514262	0.0
2631670726	128	20.926158051531637	64.0	64	64	0.3269712195551818	1.0
2631670727	128	20.9951372721792	64.0	64	64	0.3280490198778	1.0
2631670728	128	20.995185654937714	64.0	64	64	0.3280497758584018	1.0
2631670729	64	20.838086186544377	0.0	0	64	0.3255950966647559	0.0
2631670730	128	20.95105706120953	64.0	64	64	0.3273602665813989	1.0
2631670731	128	21.03586391519623	64.0	64	64	0.3286853736749411	1.0
2631670732	128	21.035891450805657	64.0	64	64	0.3286858039188384	1.0
2631670733	64	20.87247564368939	0.0	0	64	0.32613243193264674	0.0
2631670734	128	20.99354033712707	64.0	64	64	0.32802406776761045	1.0
2631670735	128	21.067456075816914	64.0	64	64	0.3291790011846393	1.0
2631670736	128	21.067554969480433	64.0	64	64	0.32918054639813177	1.0
2631670737	64	20.905176047442204	0.0	0	64	0.32664337574128444	0.0
2631670738	128	21.025806468705323	64.0	64	64	0.32852822607352067	1.0
2631670739	128	21.1061732708191	64.0	64	64	0.3297839573565484	1.0
2631670740	128	21.106153726616828	64.0	64	64	0.32978365197838794	1.0
2631670741	64	20.937180894751823	0.0	0	64	0.3271434514804972	0.0
2631670742	128	21.057659870163086	64.0	64	64	0.3290259354712982	1.0
2631670743	128	21.1371235564055	64.0	64	64	0.3302675555688359	1.0
2631670744	128	21.137042122229357	64.0	64	64	0.3302662831598337	1.0
3296274496	64	59.524195309817095	0.0	0	64	0.9300655517158921	0.0
3296274497	64	59.723961248450635	0.0	0	64	0.9331868945070412	0.0
3296274498	64	59.56010795522432	0.0	0	64	0.93062668680038	0.0
