page	access#	AVF	wr_ratio	wr#	rd#	mean_AVF	page_wr_ratio
24884927550	4	2.5645490725340974	0.0	0	4	0.6411372681335243	0.0
24884927551	50	31.851555381736752	0.0	0	50	0.637031107634735	0.0
24884927552	2	1.2823123755832442	0.0	0	2	0.6411561877916221	0.0
24884927554	32	20.24235643231723	0.0	0	32	0.6325736385099134	0.0
24884927555	1	0.6334405808649933	0.0	0	1	0.6334405808649933	0.0
24884927557	2	1.284462041074397	0.0	0	2	0.6422310205371985	0.0
24884927563	22	13.195756256160504	0.0	0	22	0.5998071025527502	0.0
24884927564	9	4.645157243782143	0.0	0	9	0.5161285826424603	0.0
24884927565	8	4.148070251658813	0.0	0	8	0.5185087814573516	0.0
24884927567	9	5.775201733112953	0.0	0	9	0.6416890814569948	0.0
24884927568	1	0.6434347031234626	0.0	0	1	0.6434347031234626	0.0
24884927569	1	0.6427938610071576	0.0	0	1	0.6427938610071576	0.0
24884927573	56	35.810259627266724	0.0	0	56	0.6394689219154772	0.0
24884927575	32	20.342393672812054	0.0	0	32	0.6356998022753767	0.0
24884927576	6	3.53775439712987	0.0	0	6	0.5896257328549783	0.0
24884927577	9	5.070579461892918	0.0	0	9	0.563397717988102	0.0
24884927578	6	3.3189967924855766	0.0	0	6	0.5531661320809295	0.0
24884927579	7	3.713308484999473	0.0	0	7	0.5304726407142104	0.0
24884927580	7	3.7139223801539027	0.0	0	7	0.5305603400219862	0.0
24884927581	56	28.866815312027754	0.0	0	56	0.5154788448576385	0.0
24884927584	7	3.908762439610671	0.0	0	7	0.5583946342300958	0.0
24884927587	10	5.311812897641913	0.0	0	10	0.5311812897641912	0.0
24884927588	54	32.891844083846145	0.0	0	54	0.6091082237749286	0.0
24884927589	9	4.684282167522757	0.0	0	9	0.5204757963914175	0.0
24884927590	1	0.6278148605370829	0.0	0	1	0.6278148605370829	0.0
24884927591	1	0.6278287986208111	0.0	0	1	0.6278287986208111	0.0
24884927592	2	1.2557922288059307	0.0	0	2	0.6278961144029653	0.0
24884927593	16	10.048398808428058	0.0	0	16	0.6280249255267536	0.0
24884927594	2	1.2615478314251751	0.0	0	2	0.6307739157125876	0.0
24884927595	3	1.8894534443740887	0.0	0	3	0.6298178147913629	0.0
24884927596	4	2.5128605666109793	0.0	0	4	0.6282151416527448	0.0
24884927597	6	3.781337277570123	0.0	0	6	0.6302228795950205	0.0
24884927598	5	3.1507739301668964	0.0	0	5	0.6301547860333793	0.0
24884927599	6	3.7825389468776267	0.0	0	6	0.6304231578129378	0.0
24884927600	5	3.151730392445848	0.0	0	5	0.6303460784891696	0.0
24884927601	27	17.04269988734931	0.0	0	27	0.6312111069388634	0.0
24884927602	11	7.01955100166813	0.0	0	11	0.6381410001516482	0.0
24884927603	6	3.782546483767346	0.0	0	6	0.6304244139612244	0.0
24884927604	5	3.1509693730742856	0.0	0	5	0.6301938746148571	0.0
24884927605	5	3.151883504876729	0.0	0	5	0.6303767009753458	0.0
24884927606	11	6.992638936625393	0.0	0	11	0.6356944487841266	0.0
24884927607	6	3.781509800073159	0.0	0	6	0.6302516333455265	0.0
24884927608	10	6.331036509210028	0.0	0	10	0.6331036509210028	0.0
24884927609	5	3.151060022241052	0.0	0	5	0.6302120044482104	0.0
24884927610	5	3.1520245376350458	0.0	0	5	0.6304049075270092	0.0
24884927611	10	6.375527698431078	0.0	0	10	0.6375527698431078	0.0
24884927612	6	3.782991573241068	0.0	0	6	0.630498595540178	0.0
24884927613	5	3.151215199573226	0.0	0	5	0.6302430399146453	0.0
24884927614	2	1.2760228927346757	0.0	0	2	0.6380114463673379	0.0
24884927615	4	2.5317096050845302	0.0	0	4	0.6329274012711326	0.0
24884927616	9	5.730220749305187	0.0	0	9	0.636691194367243	0.0
24884927617	4	2.5320586766481243	0.0	0	4	0.6330146691620311	0.0
24884927618	4	2.565067466003723	0.0	0	4	0.6412668665009308	0.0
24884927619	5	3.1669431397422985	0.0	0	5	0.6333886279484597	0.0
24884927620	11	7.00459223723073	0.0	0	11	0.6367811124755209	0.0
24884927621	11	7.0043498178189205	0.0	0	11	0.6367590743471746	0.0
24884927622	7	4.441114641977606	0.0	0	7	0.6344449488539438	0.0
24884927623	6	3.80278953710385	0.0	0	6	0.633798256183975	0.0
24884927624	6	3.8048379191865775	0.0	0	6	0.6341396531977629	0.0
24884927625	5	3.170660375050087	0.0	0	5	0.6341320750100173	0.0
24884927626	6	3.8048717835677834	0.0	0	6	0.6341452972612972	0.0
24884927627	2	1.2684776401647255	0.0	0	2	0.6342388200823628	0.0
24884927628	3	1.9030687840302185	0.0	0	3	0.6343562613434062	0.0
24884927629	13	8.247931665808528	0.0	0	13	0.6344562819852714	0.0
24884927630	1	0.6343580165095053	0.0	0	1	0.6343580165095053	0.0
24884927631	6	3.81178331793089	0.0	0	6	0.6352972196551484	0.0
24884927632	18	11.450058865173611	0.0	0	18	0.6361143813985339	0.0
24884927633	1	0.6344773678042449	0.0	0	1	0.6344773678042449	0.0
24884927634	1	0.6345752441255365	0.0	0	1	0.6345752441255365	0.0
24884927635	5	3.178956115995004	0.0	0	5	0.6357912231990008	0.0
24884927636	6	3.817503920473217	0.0	0	6	0.6362506534122029	0.0
24884927637	5	3.1767817749333993	0.0	0	5	0.6353563549866799	0.0
24884927638	6	3.8126473758769768	0.0	0	6	0.6354412293128294	0.0
24884927639	6	3.8129019782064124	0.0	0	6	0.6354836630344021	0.0
24884927640	6	3.813221211946321	0.0	0	6	0.6355368686577202	0.0
