	page	access#	AVF	wr_ratio	wr#	rd#
3365379407936	52584053249	1	0.8789649233089832	0.0	0	1
3365379402794	52584053168	1	0.8789766135716542	0.0	0	1
3365379401842	52584053153	1	0.8789940910930731	0.0	0	1
3365379408000	52584053250	1	0.8790285831552112	0.0	0	1
3365379405852	52584053216	1	0.8790390002209575	0.0	0	1
3365379402858	52584053169	1	0.8790399261823573	0.0	0	1
3365379401906	52584053154	1	0.8790574037037762	0.0	0	1
3365379405916	52584053217	1	0.8790718718506462	0.0	0	1
3365379408064	52584053251	1	0.8790878446847906	0.0	0	1
3365379402922	52584053170	1	0.8790996506926365	0.0	0	1
3365379401970	52584053155	1	0.8791171282140554	0.0	0	1
3365379405980	52584053218	1	0.8791489581371694	0.0	0	1
3365379408128	52584053252	1	0.879153009218293	0.0	0	1
3365379402986	52584053171	1	0.8791638892647392	0.0	0	1
