	page	access#	AVF	wr_ratio	wr#	rd#
1592635372140	24884927689	1	0.06450217803275905	0.0	0	1
1592635372815	24884927700	1	0.06691662338531751	0.0	0	1
1592635373618	24884927712	1	0.06933217709508885	0.0	0	1
1592635363669	24884927557	1	0.0717526075765969	0.0	0	1
1592635364472	24884927569	1	0.07416838295781082	0.0	0	1
1592635365147	24884927580	1	0.07658216329604155	0.0	0	1
1592635365950	24884927592	1	0.07899771700581289	0.0	0	1
1592635366689	24884927604	1	0.0814137140584694	0.0	0	1
1592635367428	24884927616	1	0.08383436621142003	0.0	0	1
1592635368103	24884927626	1	0.0862505849355191	0.0	0	1
1592635368842	24884927638	1	0.08866414360230725	0.0	0	1
1592635369581	24884927649	1	0.09111538641433363	0.0	0	1
1592635370256	24884927660	1	0.09352983176689209	0.0	0	1
1592635371140	24884927674	1	0.09476897513090253	0.0	0	1
1592635371879	24884927685	1	0.09718940561241059	0.0	0	1
1592635372618	24884927697	1	0.09960385096496904	0.0	0	1
1592635373293	24884927707	1	0.10201984801762554	0.0	0	1
1592635363344	24884927552	1	0.10443961348480586	0.0	0	1
1592635364211	24884927565	1	0.10685804892333071	0.0	0	1
1592635364886	24884927576	1	0.1092722726044466	0.0	0	1
1592635365689	24884927588	1	0.1117244021022433	0.0	0	1
1592635366364	24884927599	1	0.11413884745480175	0.0	0	1
1592635367167	24884927611	1	0.11655905626486723	0.0	0	1
1592635367842	24884927622	1	0.11897771337483466	0.0	0	1
1592635368517	24884927633	1	0.12139415377037632	0.0	0	1
1592635369256	24884927644	1	0.12381458425188438	0.0	0	1
1592635370059	24884927657	1	0.12622902960444282	0.0	0	1
1592635370815	24884927668	1	0.1274617444966185	0.0	0	1
1592635371618	24884927681	1	0.12987729820638985	0.0	0	1
1592635372293	24884927692	1	0.13232654597543303	0.0	0	1
1592635373032	24884927703	1	0.13474032631366376	0.0	0	1
1592635373771	24884927715	1	0.1371587617521886	0.0	0	1
1592635363886	24884927560	1	0.13957653217638574	0.0	0	1
1592635364625	24884927572	1	0.14199119920038678	0.0	0	1
1592635365428	24884927584	1	0.14438658080888353	0.0	0	1
1592635366039	24884927594	1	0.14680944967625995	0.0	0	1
1592635366906	24884927607	1	0.14922655508612934	0.0	0	1
1592635367581	24884927618	1	0.15164454718176903	0.0	0	1
1592635373952	24884927718	1	0.154081824692913	0.0	0	1
1592635368995	24884927640	1	0.15649737840268435	0.0	0	1
1592635369734	24884927652	1	0.15894662617172753	0.0	0	1
1592635371357	24884927677	1	0.16257361431518708	0.0	0	1
1592635374016	24884927719	1	0.16499116306794162	0.0	0	1
1592635372771	24884927699	1	0.16741181522089227	0.0	0	1
1592635373510	24884927711	1	0.16982493054479525	0.0	0	1
1592635363625	24884927556	1	0.17224225762610723	0.0	0	1
1592635364364	24884927568	1	0.17465404292135475	0.0	0	1
1592635365103	24884927579	1	0.17706361150217648	0.0	0	1
1592635365842	24884927591	1	0.17951175091400678	0.0	0	1
1592635366581	24884927602	1	0.18192287119492656	0.0	0	1
1592635367256	24884927613	1	0.1843375382189276	0.0	0	1
1592635368059	24884927625	1	0.18675109688571573	0.0	0	1
1592635368734	24884927636	1	0.18916088713798004	0.0	0	1
1592635369473	24884927648	1	0.19157599750486623	0.0	0	1
1592635370212	24884927659	1	0.19398977784309696	0.0	0	1
1592635371032	24884927672	1	0.19521584259199531	0.0	0	1
1592635371835	24884927684	1	0.19763139630176665	0.0	0	1
1592635372446	24884927694	1	0.20005670355501143	0.0	0	1
1592635373185	24884927706	1	0.2024687105217015	0.0	0	1
1592635373924	24884927717	1	0.20488825431743926	0.0	0	1
1592635364103	24884927564	1	0.20730912814183247	0.0	0	1
1592635364778	24884927574	1	0.20972113510852258	0.0	0	1
1592635365581	24884927587	1	0.21214067890426033	0.0	0	1
1592635366320	24884927598	1	0.21455578927114652	0.0	0	1
1592635367059	24884927610	1	0.21696823958072176	0.0	0	1
1592635367798	24884927621	1	0.21938357161905053	0.0	0	1
1592635368409	24884927631	1	0.22179624360006836	0.0	0	1
1592635369212	24884927643	1	0.2242117973098397	0.0	0	1
1592635369887	24884927654	1	0.22663666122019932	0.0	0	1
1592635370488	24884927663	1	0.22788001634161875	0.0	0	1
1592635371574	24884927680	1	0.2302654227351995	0.0	0	1
1592635372185	24884927690	1	0.23268097644497085	0.0	0	1
1592635372924	24884927701	1	0.23509808185484024	0.0	0	1
1592635373663	24884927713	1	0.23751607395047994	0.0	0	1
1592635363778	24884927559	1	0.239936504431988	0.0	0	1
1592635364581	24884927571	1	0.24235094978454644	0.0	0	1
1592635365320	24884927583	1	0.24476916355162873	0.0	0	1
1592635365995	24884927593	1	0.2471902590474645	0.0	0	1
1592635366798	24884927606	1	0.24960492607146553	0.0	0	1
1592635367537	24884927617	1	0.25202070145267946	0.0	0	1
1592635368148	24884927627	1	0.2544373635196637	0.0	0	1
1592635368951	24884927639	1	0.25685158720077955	0.0	0	1
1592635369626	24884927650	1	0.2592671409105509	0.0	0	1
1592635371249	24884927675	1	0.26289612409699364	0.0	0	1
1592635371924	24884927686	1	0.2653105694495521	0.0	0	1
1592635372727	24884927698	1	0.2677356550313543	0.0	0	1
1592635373402	24884927709	1	0.2701487703552573	0.0	0	1
1592635363517	24884927554	1	0.2725607773219474	0.0	0	1
1592635364256	24884927566	1	0.2750093600766629	0.0	0	1
1592635364995	24884927578	1	0.27742158871479555	0.0	0	1
1592635365734	24884927589	1	0.27984046749620556	0.0	0	1
1592635366473	24884927601	1	0.28225557786309174	0.0	0	1
1592635367212	24884927612	1	0.28466957987276503	0.0	0	1
1592635367951	24884927624	1	0.28708446856820863	0.0	0	1
1592635368626	24884927634	1	0.289497362220669	0.0	0	1
1592635369301	24884927645	1	0.2919124725875552	0.0	0	1
1592635370168	24884927658	1	0.2943355631263742	0.0	0	1
1592635370988	24884927671	1	0.2955636229182558	0.0	0	1
1592635371663	24884927682	1	0.29797673824215876	0.0	0	1
1592635372402	24884927693	1	0.30039450866635586	0.0	0	1
1592635373077	24884927704	1	0.3028091756903569	0.0	0	1
1592635373880	24884927716	1	0.3052233993714728	0.0	0	1
1592635363931	24884927561	1	0.3076433865100957	0.0	0	1
1592635364734	24884927573	1	0.31005583681967097	0.0	0	1
1592635365473	24884927585	1	0.31247072551511457	0.0	0	1
1592635366212	24884927597	1	0.3148873875820988	0.0	0	1
1592635366951	24884927608	1	0.31729939454878886	0.0	0	1
1592635367690	24884927620	1	0.3197142832442325	0.0	0	1
1592635368365	24884927630	1	0.32216397435616084	0.0	0	1
1592635369104	24884927642	1	0.3245770896800638	0.0	0	1
1592635369843	24884927653	1	0.32699486010426093	0.0	0	1
1592635371466	24884927679	1	0.33062805504811266	0.0	0	1
1592635372141	24884927689	1	0.33304338708644143	0.0	0	1
1592635372816	24884927700	1	0.3354600491534257	0.0	0	1
1592635373619	24884927712	1	0.3378751595203119	0.0	0	1
1592635363670	24884927557	1	0.3402915999158535	0.0	0	1
1592635364473	24884927569	1	0.3427410693563393	0.0	0	1
1592635365148	24884927580	1	0.3451561797232255	0.0	0	1
1592635365951	24884927592	1	0.3475728417902097	0.0	0	1
1592635366690	24884927604	1	0.3499886171714236	0.0	0	1
1592635367429	24884927616	1	0.3524028408525395	0.0	0	1
1592635368104	24884927626	1	0.354818837905196	0.0	0	1
1592635368843	24884927638	1	0.35723838170093375	0.0	0	1
1592635369582	24884927649	1	0.3596537137392625	0.0	0	1
1592635370257	24884927660	1	0.36207037580624674	0.0	0	1
1592635371141	24884927674	1	0.3633053074128482	0.0	0	1
1592635371880	24884927685	1	0.365720639451177	0.0	0	1
1592635372619	24884927697	1	0.36814195661845533	0.0	0	1
1592635373294	24884927707	1	0.37056172208563565	0.0	0	1
1592635363345	24884927552	1	0.3729761674381941	0.0	0	1
1592635364212	24884927565	1	0.3753985929626854	0.0	0	1
1592635364887	24884927576	1	0.377815033358227	0.0	0	1
1592635365690	24884927588	1	0.380230808739441	0.0	0	1
1592635366365	24884927599	1	0.3826505742066213	0.0	0	1
