page	access#	AVF	wr_ratio	wr#	rd#	mean_AVF	page_wr_ratio
12954820911	128	20.75367899619803	64.0	64	64	0.3242762343155942	1.0
12954820912	128	20.803385976378753	64.0	64	64	0.325052905880918	1.0
12954820913	128	20.853094912241385	64.0	64	64	0.32582960800377164	1.0
12954820914	128	20.9022868961881	64.0	64	64	0.3265982327529391	1.0
12954820915	128	20.95188663981124	64.0	64	64	0.3273732287470506	1.0
12954820916	128	21.00159440226473	64.0	64	64	0.3281499125353864	1.0
12954820917	128	21.051288018619132	64.0	64	64	0.32892637529092394	1.0
12954820918	128	21.100532284462016	64.0	64	64	0.329695816944719	1.0
12954820919	128	21.150213645209835	64.0	64	64	0.33047208820640367	1.0
12954820920	128	21.199801719930974	64.0	64	64	0.3312469018739215	1.0
12954820921	128	21.249569782576412	64.0	64	64	0.33202452785275643	1.0
12954820922	128	21.29875016281052	64.0	64	64	0.3327929712939144	1.0
12954820923	128	21.348448342422692	64.0	64	64	0.33356950535035457	1.0
12954820924	128	21.398146326466673	64.0	64	64	0.33434603635104176	1.0
12954820925	128	21.45049745376736	64.0	64	64	0.335164022715115	1.0
12954820926	128	21.501100983721024	64.0	64	64	0.335954702870641	1.0
12954820927	128	21.551972507284585	64.0	64	64	0.33674957042632164	1.0
12954820928	128	21.6028369252039	64.0	64	64	0.3375443269563109	1.0
12954820929	128	21.65305238267897	64.0	64	64	0.3383289434793589	1.0
12954820930	128	21.703982902646544	64.0	64	64	0.33912473285385225	1.0
12954820931	128	21.754709966506987	64.0	64	64	0.33991734322667166	1.0
12954820932	128	21.805427838662496	64.0	64	64	0.3407098099791015	1.0
12954820933	128	21.856288540786203	64.0	64	64	0.3415045084497844	1.0
12954820934	128	21.906996504153412	64.0	64	64	0.34229682037739706	1.0
12954820935	128	21.95781711479814	64.0	64	64	0.3430908924187209	1.0
12954820936	128	22.008229118304286	64.0	64	64	0.34387857997350446	1.0
12954820937	128	22.058842687425066	64.0	64	64	0.34466941699101666	1.0
12954820938	128	22.109712190117314	64.0	64	64	0.34546425297058303	1.0
12954820939	128	22.160536842504627	64.0	64	64	0.3462583881641348	1.0
12954820940	128	22.21074395573692	64.0	64	64	0.34704287430838937	1.0
12954820941	128	22.2616763010076	64.0	64	64	0.34783869220324376	1.0
12954820942	128	22.312437589301325	64.0	64	64	0.3486318373328332	1.0
12954820943	128	22.363124235735814	64.0	64	64	0.3494238161833721	1.0
12954820944	128	22.41398376445037	64.0	64	64	0.35021849631953705	1.0
12954820945	128	22.464681949408075	64.0	64	64	0.35101065545950116	1.0
12954820946	128	22.515529157326657	64.0	64	64	0.351805143083229	1.0
12954820947	128	22.565941617158582	64.0	64	64	0.35259283776810285	1.0
12954820948	128	22.61654684203657	64.0	64	64	0.3533835444068214	1.0
12954820949	128	22.66741830041073	64.0	64	64	0.35417841094391767	1.0
12954820950	128	22.71828278351944	64.0	64	64	0.3549731684924913	1.0
12954820951	128	22.768498240994507	64.0	64	64	0.3557577850155392	1.0
12954820952	128	22.819428826151483	64.0	64	64	0.35655357540861693	1.0
12954820953	128	22.870155824822525	64.0	64	64	0.35734618476285196	1.0
12954820954	128	22.920874088114413	64.0	64	64	0.3581386576267877	1.0
12954820955	128	22.971734399101745	64.0	64	64	0.35893334998596477	1.0
12954820956	128	24.21091357854716	64.0	64	64	0.3782955246647994	1.0
12954820957	128	23.035344647865784	64.0	64	64	0.3599272601229029	1.0
12954820958	128	23.08604531002056	64.0	64	64	0.36071945796907123	1.0
12954820959	128	23.13687074468064	64.0	64	64	0.361513605385635	1.0
12954820960	128	23.187675905438354	64.0	64	64	0.3623074360224743	1.0
12954820961	128	23.237897034390937	64.0	64	64	0.3630921411623584	1.0
12954820962	128	23.28877468575778	64.0	64	64	0.3638871044649653	1.0
12954820963	128	23.339569285833207	64.0	64	64	0.36468077009114386	1.0
12954820964	128	23.389895434903888	64.0	64	64	0.36546711617037325	1.0
12954820965	128	23.440736710587366	64.0	64	64	0.3662615111029276	1.0
12954820966	128	23.491473618046715	64.0	64	64	0.3670542752819799	1.0
12954820967	128	23.542309026684492	64.0	64	64	0.3678485785419452	1.0
12954820968	128	23.59270812269009	64.0	64	64	0.36863606441703267	1.0
12954820969	128	23.64344164030081	64.0	64	64	0.36942877562970017	1.0
12954820970	128	23.694270334430737	64.0	64	64	0.37022297397548026	1.0
12954820971	128	23.745071583824636	64.0	64	64	0.37101674349725994	1.0
12954820972	128	23.795290561527125	64.0	64	64	0.3718014150238613	1.0
12954820973	128	23.846182163424867	64.0	64	64	0.37259659630351355	1.0
12954820974	128	23.896977219826077	64.0	64	64	0.37339026905978245	1.0
12954820975	128	23.947298153745013	64.0	64	64	0.37417653365226583	1.0
12954820976	128	23.9979789331338	64.0	64	64	0.37496842083021564	1.0
12954820977	128	24.048424378800455	64.0	64	64	0.3757566309187571	1.0
12954820978	128	24.09925092168028	64.0	64	64	0.3765507956512544	1.0
12954820979	128	24.14964538923872	64.0	64	64	0.377338209206855	1.0
12954820980	128	24.20035217919678	64.0	64	64	0.3781305027999497	1.0
12954820981	128	24.25117761385687	64.0	64	64	0.3789246502165136	1.0
12954820982	128	24.301982774614572	64.0	64	64	0.3797184808533527	1.0
12954820983	128	24.35220390356716	64.0	64	64	0.38050318599323685	1.0
12954820984	128	24.403081554933998	64.0	64	64	0.3812981492958437	1.0
12954820985	128	24.45387615500944	64.0	64	64	0.3820918149220225	1.0
12954820986	128	24.504202304080113	64.0	64	64	0.38287816100125177	1.0
