	page	access#	AVF	wr_ratio	wr#	rd#
1592635366883	24884927607	1	0.0506223108257681	0.0	0	1
1592635366062	24884927594	1	0.05315395967955702	0.0	0	1
1592635366894	24884927607	1	0.05323655104787979	0.0	0	1
1592635366379	24884927599	1	0.05357080826103946	0.0	0	1
1592635365049	24884927578	1	0.05512188280645181	0.0	0	1
1592635366905	24884927607	1	0.05516887196190246	0.0	0	1
1592635366916	24884927608	1	0.05517492577947586	0.0	0	1
1592635364956	24884927577	1	0.059069260141333575	0.0	0	1
1592635364211	24884927565	1	0.05930233211790934	0.0	0	1
1592635364222	24884927565	1	0.059307088688859866	0.0	0	1
1592635364233	24884927566	1	0.05931227767535135	0.0	0	1
1592635364244	24884927566	1	0.059349032996332686	0.0	0	1
1592635364255	24884927566	1	0.05935090679701016	0.0	0	1
1592635364266	24884927566	1	0.05935205990511938	0.0	0	1
1592635364277	24884927566	1	0.05938550004028671	0.0	0	1
1592635364288	24884927567	1	0.05938751797947785	0.0	0	1
1592635363371	24884927552	1	0.05957850151006714	0.0	0	1
1592635363382	24884927552	1	0.05958296980399036	0.0	0	1
1592635363393	24884927553	1	0.05958815879048184	0.0	0	1
1592635363404	24884927553	1	0.059600266425628635	0.0	0	1
1592635363415	24884927553	1	0.059623472726326655	0.0	0	1
1592635363426	24884927553	1	0.05962505824997683	0.0	0	1
1592635363437	24884927553	1	0.059626211358086045	0.0	0	1
1592635363448	24884927553	1	0.05964523764188815	0.0	0	1
1592635365619	24884927587	1	0.060452125041313705	0.0	0	1
1592635365630	24884927587	1	0.06045471953455944	0.0	0	1
1592635365641	24884927588	1	0.06045587264266866	0.0	0	1
1592635365652	24884927588	1	0.06045702575077788	0.0	0	1
1592635365663	24884927588	1	0.060458178858887095	0.0	0	1
1592635365674	24884927588	1	0.060459331966996314	0.0	0	1
1592635365685	24884927588	1	0.060460485075105534	0.0	0	1
1592635365696	24884927589	1	0.060461638183214754	0.0	0	1
1592635366131	24884927595	1	0.06050891561569271	0.0	0	1
1592635366142	24884927595	1	0.06051295149407497	0.0	0	1
1592635366153	24884927596	1	0.06051453701772515	0.0	0	1
1592635366164	24884927596	1	0.0605273653454402	0.0	0	1
1592635366175	24884927596	1	0.060531401223822466	0.0	0	1
1592635366186	24884927596	1	0.060553454416411266	0.0	0	1
1592635366197	24884927596	1	0.060555184078575096	0.0	0	1
1592635366208	24884927597	1	0.06055633718668431	0.0	0	1
1592635366281	24884927598	1	0.060664296933409884	0.0	0	1
1592635364200	24884927565	1	0.06080540853827548	0.0	0	1
1592635364299	24884927567	1	0.06089491855525355	0.0	0	1
1592635364440	24884927569	1	0.061043092947288116	0.0	0	1
1592635364451	24884927569	1	0.06108071309935136	0.0	0	1
1592635364462	24884927569	1	0.061082010345974234	0.0	0	1
1592635364473	24884927569	1	0.06108330759259711	0.0	0	1
1592635364484	24884927570	1	0.06111689186627809	0.0	0	1
1592635364495	24884927570	1	0.06111919808249652	0.0	0	1
1592635364506	24884927570	1	0.061121071883174005	0.0	0	1
1592635364517	24884927570	1	0.06115725065010073	0.0	0	1
1592635364528	24884927570	1	0.061195159079191284	0.0	0	1
1592635364951	24884927577	1	0.06201155962051789	0.0	0	1
1592635367166	24884927611	1	0.06203591902932513	0.0	0	1
1592635363370	24884927552	1	0.07078930682491538	0.0	0	1
1592635363381	24884927552	1	0.07082577386886942	0.0	0	1
1592635363392	24884927553	1	0.0708318276864428	0.0	0	1
1592635363403	24884927553	1	0.07085979055809136	0.0	0	1
1592635363414	24884927553	1	0.07086584437566475	0.0	0	1
1592635363425	24884927553	1	0.07089323069325869	0.0	0	1
1592635363436	24884927553	1	0.07092912118315811	0.0	0	1
1592635363447	24884927553	1	0.0709351750007315	0.0	0	1
1592635364210	24884927565	1	0.07124146934224262	0.0	0	1
1592635364221	24884927565	1	0.07124622591319316	0.0	0	1
1592635364232	24884927566	1	0.07125141489968465	0.0	0	1
1592635364243	24884927566	1	0.07126323425780413	0.0	0	1
1592635364254	24884927566	1	0.07128543158890659	0.0	0	1
1592635364265	24884927566	1	0.07128730538958405	0.0	0	1
1592635364276	24884927566	1	0.07128845849769327	0.0	0	1
1592635364287	24884927566	1	0.07130719650446808	0.0	0	1
1592635365618	24884927587	1	0.07231342746827475	0.0	0	1
1592635365629	24884927587	1	0.0723160219615205	0.0	0	1
1592635365640	24884927588	1	0.07231717506962972	0.0	0	1
1592635365651	24884927588	1	0.07231832817773894	0.0	0	1
1592635365662	24884927588	1	0.07231948128584816	0.0	0	1
1592635365673	24884927588	1	0.07232063439395736	0.0	0	1
1592635365684	24884927588	1	0.07232178750206658	0.0	0	1
1592635365695	24884927588	1	0.0723229406101758	0.0	0	1
1592635366826	24884927606	1	0.07244214316096625	0.0	0	1
1592635366837	24884927606	1	0.07244329626907547	0.0	0	1
1592635366848	24884927607	1	0.072444737654212	0.0	0	1
1592635366859	24884927607	1	0.07247500674207898	0.0	0	1
1592635366870	24884927607	1	0.07247904262046125	0.0	0	1
1592635366881	24884927607	1	0.07248019572857047	0.0	0	1
1592635366892	24884927607	1	0.0725078703231917	0.0	0	1
1592635366903	24884927607	1	0.07251190620157397	0.0	0	1
1592635366130	24884927595	1	0.0726338473841238	0.0	0	1
1592635366141	24884927595	1	0.07263745084696512	0.0	0	1
1592635366152	24884927596	1	0.07264119844832008	0.0	0	1
1592635366163	24884927596	1	0.07266642268820922	0.0	0	1
1592635366174	24884927596	1	0.0727027455936496	0.0	0	1
1592635366185	24884927596	1	0.07270490767135439	0.0	0	1
1592635366196	24884927596	1	0.07270606077946361	0.0	0	1
1592635366207	24884927596	1	0.07273560917476232	0.0	0	1
1592635366554	24884927602	1	0.07303498486761814	0.0	0	1
1592635366565	24884927602	1	0.07304017385410963	0.0	0	1
1592635364450	24884927569	1	0.07305674978317964	0.0	0	1
1592635364461	24884927569	1	0.07306193876967113	0.0	0	1
1592635366576	24884927602	1	0.07309091061091523	0.0	0	1
1592635366587	24884927602	1	0.07309566718186576	0.0	0	1
1592635364472	24884927569	1	0.07311267552647673	0.0	0	1
1592635364483	24884927570	1	0.07311743209742726	0.0	0	1
1592635366598	24884927603	1	0.07315389914138129	0.0	0	1
1592635366609	24884927603	1	0.07315995295895468	0.0	0	1
1592635364494	24884927570	1	0.07317566405694279	0.0	0	1
1592635364505	24884927570	1	0.07318171787451618	0.0	0	1
1592635366620	24884927603	1	0.07320982488467838	0.0	0	1
1592635366631	24884927603	1	0.07321573456373812	0.0	0	1
1592635364516	24884927570	1	0.07323158980023987	0.0	0	1
1592635364527	24884927570	1	0.07323749947929963	0.0	0	1
1592635364199	24884927565	1	0.07336924208077782	0.0	0	1
1592635364298	24884927567	1	0.07346019348289241	0.0	0	1
1592635364439	24884927569	1	0.07361716032425977	0.0	0	1
1592635366679	24884927604	1	0.07481120377135538	0.0	0	1
1592635366690	24884927604	1	0.07481480723419669	0.0	0	1
1592635366701	24884927604	1	0.0748159603423059	0.0	0	1
1592635366712	24884927604	1	0.07484406735246811	0.0	0	1
1592635366723	24884927605	1	0.07488096681196309	0.0	0	1
1592635366734	24884927605	1	0.07488211992007231	0.0	0	1
1592635366745	24884927605	1	0.07488327302818153	0.0	0	1
1592635366756	24884927605	1	0.07491383039307582	0.0	0	1
1592635367490	24884927617	1	0.07532433687995756	0.0	0	1
1592635366668	24884927604	1	0.0766926437900588	0.0	0	1
1592635366119	24884927595	1	0.07670691350291037	0.0	0	1
1592635366815	24884927606	1	0.07694906620584623	0.0	0	1
1592635366804	24884927606	1	0.07885544218741149	0.0	0	1
1592635366991	24884927609	1	0.07886077531241663	0.0	0	1
1592635366980	24884927609	1	0.07886279325160776	0.0	0	1
1592635367013	24884927609	1	0.07888643196784674	0.0	0	1
1592635367002	24884927609	1	0.07889724235637066	0.0	0	1
