	Address
829108540969	0.031373266
829108541039	0.031418905
829108541083	0.031457853
2182056915362	0.031535555
829108541121	0.03156092
1592635364237	0.03157016
829108541041	0.031588644
829108541093	0.031613443
829108541081	0.03163023
829108541078	0.031655595
829108541238	0.031660404
829108541262	0.031694822
829108541361	0.031696428
829108541416	0.031731036
888014479129	0.03212445
829108541489	0.032894015
888014479130	0.032917403
1592635364269	0.032967098
829108541551	0.0329687
888014471526	0.032990295
2182056914530	0.033088177
829108541596	0.03308978
829108541662	0.0333127
829108541719	0.033441797
888014470485	0.033451132
1046780792889	0.03357881
829108541813	0.03357966
888014481309	0.033676032
829108539644	0.033719316
829108541825	0.03375647
829108541918	0.033840206
2182056914500	0.033848032
888014479131	0.033890277
2182056917572	0.03396534
829108541960	0.033966094
2182056916300	0.03406162
2182056916248	0.034062374
1046780789948	0.03409717
1046780792871	0.034169875
829108542039	0.034184113
1046780788564	0.03422419
829108542134	0.03431019
1046780793012	0.03431943
3365379400823	0.03441684
2182056916843	0.034417596
1046780792697	0.034521606
829108542195	0.034522362
829108542267	0.034592707
829108542327	0.034637593
829108542266	0.034661166
829108542318	0.03467616
2182056915328	0.034749147
1592635363688	0.034780454
888014479132	0.034814686
829108542363	0.035429984
1046780789021	0.035534464
829108542417	0.03553522
888014479133	0.03569977
3365379400572	0.03601256
1046780792058	0.03628263
1046780792047	0.036347885
2182056917710	0.03641521
1046780792059	0.036438975
1046780792048	0.0364634
1449024141826	0.036502723
1449024141917	0.0365428
1046780797877	0.036563825
888014479134	0.036568258
1046780789950	0.036582496
1449024142013	0.03659268
2182056918511	0.03661371
2182056917748	0.036618236
1449024142079	0.03663059
1046780790423	0.03665162
1592635363833	0.036672458
3365379400872	0.03669613
1449024142131	0.036731113
2182056917749	0.03675761
1046780793434	0.036794953
1592635364284	0.036815982
829108538555	0.036835972
2182056917559	0.036875673
2182056917629	0.03688727
1046780798706	0.0369083
1046780788918	0.036929328
888014479135	0.036934797
1046780790261	0.03693772
1449024142149	0.0369728
1046780790651	0.036973555
1046780790713	0.03699722
1449024142267	0.037698895
888014479136	0.037721623
1046780792563	0.037764058
888014481393	0.03776481
1046780802938	0.037787255
1046780789883	0.037866652
1449024142321	0.03786741
1449024142354	0.037970286
1046780790410	0.038045537
1449024142404	0.038046293
1046780792209	0.038068734
1449024142479	0.038105324
1449024142554	0.038138703
888014479137	0.03863528
1449024142635	0.038934488
2182056914515	0.03900587
888014476789	0.039006628
1592635363812	0.03902822
888014467197	0.0390666
888014467194	0.039093003
1046780788330	0.039210405
1449024142702	0.03921116
1046780792010	0.039250106
1046780792006	0.039275378
1046780792004	0.03929914
1046780789951	0.039325073
1046780797140	0.0394288
1449024142780	0.03944304
2182056914967	0.039532907
2182056914909	0.03953366
888014472366	0.039617587
2182056914602	0.03961834
1592635363817	0.03961938
888014479138	0.03964767
888014479139	0.04040158
1046780789927	0.040599797
1449024142820	0.040702585
1449024142873	0.0408313
1046780800655	0.04096266
1449024142941	0.04096341
