	Address
1592635366252	0.031986028
1592635366312	0.043597214
1592635366253	0.045244835
1592635366313	0.056830015
1592635366254	0.0584891
1592635366314	0.0701051
1592635366255	0.07175561
1592635366315	0.083341464
1592635366256	0.084987834
1592635366316	0.09658756
1592635366257	0.09824742
1592635366317	0.109846175
1592635366258	0.11149765
1592635366318	0.123078205
1592635366259	0.12473748
1592635366319	0.136348
1592635366260	0.13799976
1592635366320	0.1495965
1592635366261	0.15125124
1592635366321	0.16284287
1592635366262	0.16449791
1592635366322	0.17611083
1592635366263	0.17775884
1592635366323	0.18935558
1592635366264	0.19100994
1592635366324	0.2026087
1592635366265	0.20426066
1592635366325	0.21585768
1592635366266	0.21750444
1592635366326	0.22910032
1592635366267	0.23075044
1592635366327	0.24232975
1592635366268	0.24398749
1592635366328	0.25557882
1592635366269	0.25722682
1592635366329	0.26882002
1592635366270	0.27046674
1592635366330	0.28206253
1592635366271	0.28371266
1592635366331	0.29529196
1592635366400	0.29696983
1592635366332	0.30856118
1592635366401	0.3102188
1592635366333	0.32181197
1592635366402	0.3234684
1592635366334	0.33506578
1592635366403	0.3367241
1592635366335	0.34834
1592635366404	0.35000873
1592635366464	0.3616415
1592635366405	0.36329615
1592635366465	0.3748896
1592635366406	0.37655282
1592635366557	0.38155368
1592635366558	0.3815694
1592635366559	0.38159865
1592635366560	0.38161668
1592635366561	0.38163614
1592635366562	0.38165587
1592635366563	0.38167322
1592635366564	0.38169336
1592635366565	0.38171357
1592635366566	0.3817314
1592635366567	0.38175106
1592635366568	0.38177156
1592635366569	0.38178948
1592635366570	0.3818094
1592635366571	0.38182744
1592635366572	0.3818469
1592635366573	0.38186663
1592635366574	0.38188398
1592635366575	0.3819041
1592635366576	0.38192433
1592635366577	0.38194215
1592635366578	0.3819618
1592635366579	0.38198233
1592635366580	0.38200024
1592635366581	0.38202018
1592635366582	0.3820382
1592635366583	0.38205764
1592635366584	0.3820774
1592635366585	0.38209474
1592635366586	0.38211486
1592635366587	0.3821351
1592635366588	0.38215292
1592635366589	0.38217255
1592635366407	0.38217652
1592635366466	0.38221303
1592635366467	0.38232255
1592635366408	0.38234162
1592635366468	0.38250315
1592635366409	0.3825224
1592635366469	0.38268557
1592635366410	0.38270378
1592635366470	0.38286543
1592635366411	0.3828849
1592635366471	0.38304448
1592635366412	0.38306355
1592635366472	0.38322434
1592635366413	0.3832434
1592635366473	0.38340646
1592635366414	0.38342565
1592635366474	0.38358563
1592635366415	0.38360414
1592635366475	0.38376346
1592635366416	0.3837829
1592635366476	0.38394347
1592635366417	0.38396266
1592635366477	0.3841232
1592635366418	0.3841428
1592635366478	0.3843044
1592635366419	0.38432387
1592635366479	0.38448444
1592635366420	0.38450417
1592635366480	0.38466495
1592635366421	0.3846844
1592635366481	0.38484642
1592635366422	0.3848655
1592635366482	0.3850279
1592635366423	0.38504764
1592635366483	0.38520792
1592635366424	0.38522372
1592635366484	0.3853849
1592635366425	0.3854049
1592635366485	0.38556364
1592635366426	0.3855838
1592635366486	0.38574415
1592635366427	0.38576323
1592635366487	0.38592276
1592635366428	0.38594356
1592635366488	0.38610324
1592635366429	0.38611916
1592635366489	0.38628107
1592635366430	0.3863014
1592635366490	0.38646188
1592635366431	0.3864823
1592635366491	0.38664392
1592635366432	0.38666308
1592635366492	0.38682434
1592635366433	0.38847417
1592635366493	0.39843696
1592635366434	0.4000896
1592635366494	0.411677
1592635366435	0.41332963
1592635366495	0.42491153
1592635366436	0.42655945
1592635366496	0.43815494
1592635366437	0.4398061
1592635366497	0.4432422
1592635366438	0.443263
1592635366498	0.4434227
1592635366439	0.4434386
1592635366499	0.4436005
1592635366440	0.44362083
1592635366500	0.44378132
1592635366441	0.44380173
1592635366501	0.44396335
1592635366442	0.44398254
1592635366502	0.44414377
1592635366443	0.44416556
1592635366503	0.4443263
1592635366444	0.44434306
1592635366504	0.44450548
1592635366445	0.4445262
1592635366505	0.44468522
1592635366446	0.44470495
1592635366506	0.44486514
1592635366447	0.4448842
1592635366507	0.44504362
1592635366448	0.44506347
1592635366508	0.4452231
1592635366449	0.44524023
1592635366509	0.44540235
1592635366450	0.44542325
1592635366510	0.44558412
1592635366451	0.4456032
1592635366511	0.44576395
1592635366452	0.44578302
1592635366512	0.44594446
1592635366453	0.44596383
1592635366513	0.44612563
1592635366454	0.44614288
1592635366514	0.44630626
1592635366455	0.44632572
1592635366515	0.4464886
1592635366456	0.44650796
1592635366516	0.44666708
1592635366457	0.44668615
1592635366517	0.44684595
1592635366458	0.4468651
1592635366518	0.44702607
1592635366459	0.44704372
1592635366519	0.44720465
1592635366460	0.4472241
1592635366520	0.4473843
1592635366461	0.44740337
1592635366521	0.44756433
1592635366462	0.4475834
1592635366522	0.44774494
1592635366463	0.44776422
1592635366523	0.4479274
1592635366592	0.4479561
1592635366524	0.4481177
1592635366593	0.44813716
1592635366525	0.4482968
1592635366594	0.44831586
1592635366526	0.4484766
1592635366595	0.4484957
1592635366527	0.44865876
1592635366596	0.44867793
1592635366656	0.44884843
1592635366597	0.44886586
1592635366657	0.44902518
1592635366598	0.44904464
1592635366658	0.44920522
1592635366599	0.44922438
1592635366749	0.44926822
1592635366750	0.4492691
1592635366751	0.44928998
1592635366752	0.4493102
1592635366753	0.44932756
1592635366754	0.44934738
1592635366755	0.4493681
1592635366756	0.44938603
1592635366757	0.44940546
1592635366758	0.4494235
1592635366759	0.44944274
1592635366760	0.44946203
1592635366761	0.44947934
1592635366762	0.44949862
1592635366763	0.44951886
1592635366764	0.44953617
1592635366765	0.44955602
1592635366766	0.44957674
1592635366767	0.44959465
1592635366768	0.4496141
1592635366769	0.44963214
1592635366770	0.4496514
1592635366771	0.44967064
1592635366772	0.449688
1592635366773	0.44970727
1592635366774	0.44972748
1592635366775	0.44974482
1592635366776	0.44976467
1592635366777	0.44978538
1592635366778	0.4498033
1592635366779	0.44982275
1592635366780	0.44984075
1592635366781	0.44986004
1592635366600	0.44990095
1592635366659	0.44990212
1592635366660	0.45006174
1592635366601	0.4500808
1592635366661	0.45024312
1592635366602	0.45026296
1592635366662	0.45042208
1592635366603	0.45043796
1592635366663	0.4522299
1592635366604	0.4522507
1592635366664	0.45405003
1592635366605	0.45407093
1592635366665	0.45587036
1592635366606	0.45588952
1592635366666	0.45932847
1592635366607	0.4609815
1592635366667	0.464435
1592635366608	0.46609765
1592635366668	0.4711853
1592635366609	0.4728415
1592635366669	0.48116255
1592635366610	0.48281074
1592635366670	0.49114883
1592635366611	0.49279916
1592635366671	0.50438905
1592635366612	0.50604206
1592635366672	0.5176442
1592635366613	0.51929724
1592635366673	0.5308912
1592635366614	0.5325406
1592635366674	0.5441266
1592635366615	0.5457769
1592635366675	0.55736667
1592635366616	0.5590197
1592635366676	0.5706217
1592635366617	0.57227474
1592635366677	0.5838687
1592635366618	0.5855181
1592635366678	0.5971041
1592635366619	0.5987544
1592635366679	0.61034423
1592635366620	0.61199725
1592635366680	0.6235993
1592635366621	0.6252523
1592635366681	0.63684624
1592635366622	0.6384957
1592635366682	0.6484558
1592635366623	0.6484786
1592635366683	0.64864373
1592635366624	0.64866334
1592635366684	0.6488242
1592635366625	0.6488399
1592635366685	0.64900106
1592635366626	0.6490211
1592635366686	0.64918023
1592635366627	0.64919966
1592635366687	0.6493602
1592635366628	0.64937925
1592635366688	0.64953846
1592635366629	0.64955914
1592635366689	0.64971876
1592635366630	0.6497348
1592635366690	0.6498957
1592635366631	0.64991605
1592635366691	0.65007573
1592635366632	0.65009606
1592635366692	0.65025735
1592635366633	0.6502764
1592635366693	0.6504377
1592635366634	0.6504595
1592635366694	0.6506198
1592635366635	0.65063655
1592635366695	0.65079916
1592635366636	0.65081984
1592635366696	0.65097946
1592635366637	0.6509991
1592635366697	0.65116054
1592635366638	0.65117973
1592635366698	0.6513391
1592635366639	0.65135896
1592635366699	0.6515183
1592635366640	0.6515353
1592635366700	0.6516974
1592635366641	0.65171826
1592635366701	0.65187854
1592635366642	0.6518979
1592635366702	0.6520591
1592635366643	0.65207815
1592635366703	0.65224004
1592635366644	0.65226007
1592635366704	0.6524214
1592635366645	0.6524387
1592635366705	0.6526031
1592635366646	0.6526226
1592635366706	0.6527854
1592635366647	0.65280473
1592635366707	0.6578649
1592635366648	0.65951794
1592635366708	0.6711261
1592635366649	0.6727884
1592635366709	0.6827557
1592635366650	0.684409
1592635366710	0.6862106
1592635366651	0.68623
1592635366711	0.6863907
1592635366652	0.6864103
1592635366712	0.6865709
1592635366653	0.6865904
1592635366713	0.6867516
1592635366654	0.6867707
1592635366714	0.6869322
1592635366655	0.6869519
1592635366715	0.68711275
1592635366784	0.6871386
1592635366716	0.6872998
1592635366785	0.6873198
1592635366717	0.68747896
1592635366786	0.6874984
1592635366718	0.6876589
1592635366787	0.687678
1592635366719	0.6878372
1592635366788	0.68785787
1592635366848	0.6880276
1592635366789	0.688043
1592635366849	0.688204
1592635366790	0.6882243
1592635366850	0.688384
1592635366791	0.6884043
1592635366851	0.6885752
1592635366942	0.6885769
1592635366943	0.68859524
1592635366944	0.68861574
1592635366945	0.688634
1592635366946	0.68865305
1592635366947	0.68867356
1592635366948	0.6886915
1592635366949	0.6887111
1592635366950	0.6887291
1592635366951	0.6887484
1592635366952	0.6887677
1592635366953	0.688785
1592635366954	0.6888044
1592635366955	0.6888249
1592635366956	0.6888431
1592635366957	0.68886214
1592635366958	0.68888265
1592635366959	0.6889006
1592635366960	0.68892026
1592635366961	0.68893826
1592635366962	0.6889575
1592635366963	0.68897676
1592635366964	0.6889941
1592635366965	0.6890135
1592635366966	0.689034
1592635366967	0.6890522
1592635366968	0.6890713
1592635366969	0.6890918
1592635366970	0.6891097
1592635366971	0.6891293
1592635366972	0.68914807
1592635366973	0.68916684
1592635366974	0.689186
1592635366792	0.6891885
1592635366852	0.6892449
1592635366793	0.6892648
1592635366853	0.68942404
1592635366794	0.6894431
1592635366854	0.68960345
1592635366795	0.6896234
1592635366855	0.68978333
1592635366796	0.68980056
1592635366856	0.68996304
1592635366797	0.68998253
1592635366857	0.6901443
1592635366798	0.6901634
1592635366858	0.69032466
1592635366799	0.6903438
1592635366859	0.69050574
1592635366800	0.6905259
1592635366860	0.6906877
1592635366801	0.69070524
1592635366861	0.6908666
1592635366802	0.690886
1592635366862	0.6910472
1592635366803	0.6910666
1592635366863	0.6912261
1592635366804	0.6912452
1592635366864	0.6914056
1592635366805	0.69142437
1592635366865	0.691586
1592635366806	0.6916037
1592635366866	0.69176507
1592635366807	0.69178456
1592635366867	0.69194585
1592635366808	0.69196504
1592635366868	0.69212687
1592635366809	0.69214606
1592635366869	0.6923081
1592635366810	0.69232744
1592635366870	0.6924913
1592635366811	0.6925096
1592635366871	0.69267255
1592635366812	0.692692
1592635366872	0.6928517
1592635366813	0.69287086
1592635366873	0.6930305
1592635366814	0.69304955
1592635366874	0.6932108
1592635366815	0.69323
1592635366875	0.6933899
1592635366816	0.6934085
1592635366876	0.69356817
1592635366817	0.6935876
1592635366877	0.6937484
1592635366818	0.6937675
1592635366878	0.6939283
1592635366819	0.69394785
1592635366879	0.6941109
1592635366820	0.69412595
1592635366880	0.69428587
1592635366821	0.69430584
1592635366881	0.694466
1592635366822	0.6944855
1592635366882	0.694647
1592635366823	0.69466615
1592635366883	0.6948292
1592635366824	0.6948491
1592635366884	0.6950079
1592635366825	0.69502383
1592635366885	0.69682103
1592635366826	0.6968425
1592635366886	0.7035393
1592635366827	0.70518726
1592635366887	0.7151645
1592635366828	0.71681935
1592635366888	0.72841364
1592635366829	0.7300663
1592635366889	0.7416485
1592635366830	0.7433001
1592635366890	0.75489587
1592635366831	0.75654423
1592635366891	0.7681444
1592635366832	0.7697993
1592635366892	0.7813938
1592635366833	0.7830464
1592635366893	0.7946286
1592635366834	0.7962802
1592635366894	0.80460846
1592635366835	0.80626136
1592635366895	0.806428
1592635366836	0.8064471
1592635366896	0.8066073
1592635366837	0.8066277
1592635366897	0.806789
1592635366838	0.80680627
1592635366898	0.80696714
1592635366839	0.80698663
1592635366899	0.8071463
1592635366840	0.8071657
1592635366900	0.80732626
1592635366841	0.80734533
1592635366901	0.80750656
1592635366842	0.8075261
1592635366902	0.8076889
1592635366843	0.80770713
1592635366903	0.8078696
1592635366844	0.80788904
1592635366904	0.8080504
1592635366845	0.80806947
1592635366905	0.8082317
1592635366846	0.8082508
1592635366906	0.80841404
1592635366847	0.808433
1592635366907	0.8085931
1592635366976	0.808622
1592635366908	0.8087821
1592635366977	0.80880153
1592635366909	0.80896133
1592635366978	0.8089804
1592635366910	0.8091408
1592635366979	0.8091599
1592635366911	0.8093212
1592635366980	0.8093406
1592635367040	0.8176779
1592635366981	0.81933254
1592635367041	0.83094347
1592635366982	0.83259475
1592635367042	0.83438855
1592635366983	0.83440864
1592635367043	0.8345697
1592635366984	0.8345869
1592635367134	0.8347181
1592635367135	0.8347228
1592635367136	0.83474284
1592635367137	0.83476233
1592635367138	0.8347794
1592635367139	0.8347994
1592635367140	0.8348201
1592635367141	0.8348379
1592635367142	0.834857
1592635367143	0.834876
1592635367144	0.83489466
1592635367145	0.8349148
1592635367146	0.834932
1592635367147	0.8349515
1592635367148	0.8349711
1592635367149	0.8349881
1592635367150	0.83500814
1592635367151	0.8350288
1592635367152	0.83504665
1592635367153	0.8350657
1592635367154	0.83508474
1592635367155	0.8351034
1592635367156	0.83512354
1592635367157	0.83514076
1592635367158	0.83516026
1592635367159	0.8351798
1592635367160	0.83519685
1592635367161	0.8352169
1592635367162	0.83523756
1592635367163	0.8352554
1592635367164	0.83527446
1592635367165	0.8352935
1592635367166	0.8353121
1592635366985	0.83531636
1592635367044	0.8353492
1592635367045	0.8354117
1592635366986	0.83706665
1592635367046	0.8486591
1592635366987	0.8503087
1592635367047	0.86189765
1592635366988	0.8635525
1592635367048	0.8751497
1592635366989	0.87679946
1592635367049	0.8884071
1592635366990	0.8900598
1592635367050	0.90165114
1592635366991	0.9033008
1592635367051	0.91488975
1592635366992	0.91654456
1592635367052	0.92814183
1592635366993	0.92979157
1592635367053	0.94139916
1592635366994	0.9430519
1592635367054	0.95464325
1592635366995	0.95629287
1592635367055	0.9678818
1592635366996	0.96953666
1592635367056	0.9811339
1592635366997	0.9811565
1592635367057	0.98132056
1592635366998	0.9829812
1592635367058	0.9945697
1592635366999	0.9962227
