	Address
1592635372140	0.06450041
1592635372815	0.06691485
1592635373618	0.0693304
1592635363669	0.071750835
1592635364472	0.07416661
1592635365147	0.07658039
1592635365950	0.07899594
1592635366689	0.08141194
1592635367428	0.08383259
1592635368103	0.086248815
1592635368842	0.08866237
1592635369581	0.09111361
1592635370256	0.09352806
1592635371140	0.094767205
1592635371879	0.09718763
1592635372618	0.09960208
1592635373293	0.10201807
1592635363344	0.10443784
1592635364211	0.10685628
1592635364886	0.1092705
1592635365689	0.111722626
1592635366364	0.114137076
1592635367167	0.116557285
1592635367842	0.11897594
1592635368517	0.12139238
1592635369256	0.12381281
1592635370059	0.12622726
1592635370815	0.12745997
1592635371618	0.12987553
1592635372293	0.13232477
1592635373032	0.13473855
1592635373771	0.137157
1592635363886	0.13957477
1592635364625	0.14198942
1592635365428	0.1443848
1592635366039	0.14680767
1592635366906	0.14922479
1592635367581	0.15164277
1592635373952	0.15408005
1592635368995	0.1564956
1592635369734	0.15894486
1592635371357	0.16257185
1592635374016	0.1649894
1592635372771	0.16741005
1592635373510	0.16982315
1592635363625	0.17224048
1592635364364	0.17465226
1592635365103	0.17706184
1592635365842	0.17950998
1592635366581	0.1819211
1592635367256	0.18433577
1592635368059	0.18674932
1592635368734	0.18915911
1592635369473	0.19157423
1592635370212	0.19398801
1592635371032	0.19521406
1592635371835	0.19762962
1592635372446	0.20005493
1592635373185	0.20246693
1592635373924	0.20488648
1592635364103	0.20730735
1592635364778	0.20971936
1592635365581	0.2121389
1592635366320	0.21455401
1592635367059	0.21696647
1592635367798	0.2193818
1592635368409	0.22179447
1592635369212	0.22421002
1592635369887	0.22663489
1592635370488	0.22787824
1592635371574	0.23026365
1592635372185	0.2326792
1592635372924	0.2350963
1592635373663	0.2375143
1592635363778	0.23993473
1592635364581	0.24234918
1592635365320	0.24476738
1592635365995	0.24718848
1592635366798	0.24960315
1592635367537	0.25201893
1592635368148	0.2544356
1592635368951	0.25684983
1592635369626	0.25926536
1592635371249	0.26289436
1592635371924	0.2653088
1592635372727	0.26773387
1592635373402	0.270147
1592635363517	0.27255902
1592635364256	0.27500758
1592635364995	0.2774198
1592635365734	0.27983868
1592635366473	0.2822538
1592635367212	0.28466782
1592635367951	0.2870827
1592635368626	0.2894956
1592635369301	0.2919107
1592635370168	0.2943338
1592635370988	0.29556185
1592635371663	0.29797497
1592635372402	0.30039275
1592635373077	0.3028074
1592635373880	0.30522162
1592635363931	0.30764163
1592635364734	0.31005406
1592635365473	0.31246895
1592635366212	0.31488562
1592635366951	0.3172976
1592635367690	0.31971252
1592635368365	0.3221622
1592635369104	0.3245753
1592635369843	0.32699308
1592635371466	0.33062628
1592635372141	0.3330416
1592635372816	0.33545828
1592635373619	0.3378734
1592635363670	0.34028983
1592635364473	0.34273928
1592635365148	0.3451544
1592635365951	0.34757107
1592635366690	0.34998685
1592635367429	0.35240108
1592635368104	0.35481706
1592635368843	0.3572366
1592635369582	0.35965195
1592635370257	0.3620686
1592635371141	0.36330354
1592635371880	0.36571887
1592635372619	0.3681402
1592635373294	0.37055996
1592635363345	0.3729744
1592635364212	0.37539682
1592635364887	0.37781325
1592635365690	0.38022903
1592635366365	0.3826488
1592635374080	0.3850881
1592635367843	0.38750407
1592635368518	0.38995865
1592635369257	0.39237663
1592635370060	0.39479795
1592635374144	0.39603242
1592635371619	0.3984553
1592635372294	0.4008713
1592635373033	0.4032884
1592635373772	0.40570197
1592635363887	0.40811953
1592635364626	0.41054216
