	Address
1046780790603	0.026606334
1046780790604	0.026607573
1046780790605	0.02662511
1046780790606	0.026644275
1046780790607	0.026645122
1046780790608	0.026662529
1046780790609	0.026681367
1046780790610	0.026682736
1046780790611	0.026694015
1046780790612	0.026705945
1046780790613	0.026707118
1046780790614	0.02671768
1046780790615	0.026727848
1046780790616	0.02673176
1046780790617	0.026739126
1046780790618	0.026743038
1046780790619	0.026754642
1046780790620	0.026757378
1046780790621	0.026765918
1046780790622	0.026777718
1046780790623	0.02678
1046780790624	0.026789322
1046780790625	0.02680099
1046780790626	0.026803467
1046780790627	0.02681266
1046780790628	0.026824525
1046780790629	0.026826676
1046780790630	0.026836257
1046780790631	0.026848318
1046780790632	0.026849752
1046780790633	0.026860379
1046780790634	0.026872633
1046780790635	0.026874002
1046780790636	0.026884368
1046780790637	0.026896624
1046780790638	0.026897993
1046780790639	0.02690888
1046780790640	0.02692146
1046780790641	0.026922308
1046780790642	0.026933195
1046780790643	0.026945516
1046780790644	0.026947081
1046780790645	0.026958162
1046780790646	0.026969962
1046780790647	0.026971135
1046780790648	0.026981696
1046780790649	0.02699369
1046780790650	0.026995841
1046780790651	0.027006337
1046780790652	0.02700751
1046780790653	0.027020093
1046780790654	0.027022831
1046780790655	0.02703137
1046780790656	0.02705034
1046780790657	0.027052948
1046780790658	0.027061747
1046780790659	0.027073286
1046780790660	0.027075699
1046780790661	0.027084695
1046780790662	0.02709656
1046780790663	0.027098646
1046780790664	0.027108293
1046780790665	0.027120288
1046780790666	0.027121788
1046780790667	0.027132414
1046780790668	0.027144864
1046780790669	0.027146298
1046780790670	0.027156599
1046780790671	0.027168725
1046780790672	0.02717029
1046780790673	0.027180979
1046780790674	0.027193626
1046780790675	0.027194604
1046780790676	0.027205426
1046780790677	0.027217811
1046780790678	0.02721931
1046780790679	0.027230263
1046780790680	0.027242845
1046780790681	0.027243366
1046780790682	0.027254578
1046780790683	0.027266508
1046780790684	0.02726866
1046780790685	0.027279155
1046780790686	0.027280394
1046780790687	0.027292844
1046780790688	0.027295582
1046780790689	0.027303992
1046780790690	0.027316444
1046780790691	0.027319312
1046780790692	0.027327657
1046780790693	0.027339129
1046780790694	0.027341932
1046780790695	0.027350472
1046780790696	0.027362533
1046780790697	0.027364423
1046780790698	0.0273742
1046780790699	0.02738587
1046780790700	0.027388282
1046780790701	0.027397735
1046780790702	0.027409924
1046780790703	0.027411424
1046780790704	0.027421659
1046780790705	0.027433915
1046780790706	0.02743548
1046780790707	0.027446039
1046780790708	0.027458426
1046780790709	0.0274596
1046780790710	0.02747016
1046780790711	0.027482545
1046780790712	0.027484044
1046780790713	0.027494866
1046780790714	0.027507383
1046780790715	0.027507905
1046780790716	0.027519118
1046780790717	0.027530916
1046780790718	0.027533263
1046780790719	0.027543237
1046780790720	0.027561815
1046780790721	0.027562989
1046780790722	0.02757355
1046780790723	0.027575701
1046780790724	0.027588153
1046780790725	0.027591022
1046780790726	0.027599365
1046780790727	0.027611164
1046780790728	0.027613577
1046780790729	0.027622573
1046780790730	0.027634436
1046780790731	0.027636783
1046780790732	0.02764578
1046780790733	0.027657384
1046780790734	0.027659666
1046780790735	0.027669314
1046780790736	0.027681438
1046780790737	0.027682938
1046780790738	0.027693173
1046780790739	0.027705299
1046780790740	0.027706863
1046780790741	0.027717358
1046780790742	0.027729679
1046780790743	0.027731113
1046780790744	0.027741414
1046780790745	0.027753668
1046780790746	0.027755102
1046780790747	0.02776599
1046780790748	0.027778506
1046780790749	0.027779028
1046780790750	0.02779024
1046780790751	0.02780243
1046780790752	0.02780406
1046780790753	0.027814947
1046780790754	0.02782694
1046780790755	0.027828114
1046780790756	0.027838675
1046780790757	0.027840827
1046780790758	0.027853344
1046780790759	0.027856212
1046780790760	0.027864685
1046780790761	0.027876224
1046780790762	0.027878897
1046780790763	0.027887633
1046780790764	0.027899433
1046780790765	0.027901778
1046780790766	0.027910905
1046780790767	0.02792251
1046780790768	0.027925247
1046780790769	0.027934048
1046780790770	0.027946368
1046780790771	0.027947998
1046780790772	0.027958103
1046780790773	0.027970228
1046780790774	0.027971663
1046780790775	0.027982352
1046780790776	0.027994674
1046780790777	0.027996043
1046780790778	0.028006408
1046780790779	0.028018532
1046780790780	0.028019771
1046780790781	0.028030789
1046780790782	0.028043436
1046780790783	0.028044283
1046780790784	0.02806886
1046780790785	0.0280877
1046780790786	0.028089069
1046780790787	0.028106865
1046780790788	0.028125314
1046780790789	0.028126488
1046780790790	0.028143566
1046780790792	0.028157648
1046780790791	0.028160255
1046780790793	0.028172966
1046780790794	0.028174726
1046780790795	0.028186591
1046780790796	0.02818933
1046780790797	0.02819787
1046780790798	0.028209668
1046780790799	0.02821195
1046780790800	0.028221272
1046780790801	0.028232941
1046780790802	0.028235419
1046780790803	0.028244609
1046780790804	0.028256474
1046780790805	0.028258625
1046780790806	0.028268209
1046780790807	0.028280335
1046780790808	0.0282819
1046780790809	0.028292393
1046780790810	0.02830465
1046780790811	0.028306019
1046780790812	0.028316384
1046780790813	0.028328639
1046780790814	0.028330008
1046780790815	0.028340895
1046780790816	0.028353477
1046780790817	0.028354324
1046780790818	0.02836521
1046780790819	0.028377596
1046780790820	0.02837916
1046780790821	0.028390244
1046780790822	0.028402042
1046780790823	0.028403215
1046780790824	0.028413776
1046780790825	0.028425772
1046780790826	0.028427923
1046780790827	0.028438417
1046780790828	0.02843959
1046780790829	0.028452173
1046780790830	0.028454911
1046780790831	0.028463451
1046780790832	0.02847564
1046780790833	0.028478509
1046780790834	0.028486853
1046780790835	0.028498393
